fecha,anio,mes,categoria,videos_publicados,vistas_totales,likes_totales,comentarios_totales,engagement_promedio,max_vistas_video,titulo_mas_visto
2025-11-01,2025,11,MotoGP,2,551450.0,6040.0,139.0,1.27,547784,MotoGP HIGHLIGHTS 💃 2025 Argentina GP
2025-11-01,2025,11,Otro,1,842.0,0.0,1.0,0.12,842,RIO HONDO 2025... ARGENTINA #s1000rr #motociclistico #motorbike
2025-10-01,2025,10,Termas,1,72004.0,2416.0,76.0,3.46,72004,"VIENEN DE TODO EL MUNDO A CONOCER ESTAS AGUAS TERMALES | Termas de Jordan, Jujuy"
2025-10-01,2025,10,SDE Capital,1,44153.0,429.0,61.0,1.11,44153,TREN DE SANTIAGO LA BANDA | SANTIAGO DEL ESTERO | NORTE ARGENTINO
2025-10-01,2025,10,MotoGP,2,9475.0,51.0,0.0,0.56,8296,"🏁 Rossi Juara, Marquez Jatuh! Awal Perang Dua Legenda MotoGP! #motogp #sportkini #argentinagp"
2025-09-01,2025,9,MotoGP,3,27175.0,389.0,4.0,1.36,20017,🏁 MotoGP 25 | Trackhouse Aprilia RS-GP25 Battles Termas – Argentine GP Showdown! 🇦🇷🏍️
2025-09-01,2025,9,Otro,1,17981.0,537.0,42.0,3.22,17981,"O QUE FAZER EM MENDOZA, NA ARGENTINA | roteiro completo de 6 dias"
2025-08-01,2025,8,MotoGP,7,177858.0,3606.0,69.0,1.59,149974,REMEMBER MOTOGP ARGENTINA 2016 DUCATI KECEWA#motogp #marcmarquez #valentinorossi
2025-08-01,2025,8,Otro,1,122127.0,1792.0,114.0,1.56,122127,"Luis, pescador artesanal de Río Hondo | Una vida sencilla que no cambia por nada"
2025-07-01,2025,7,Termas,3,172999.0,2044.0,170.0,1.66,104070,RECORRIENDO TERMAS DE RIO HONDO | SANTIAGO DEL ESTERO | VACACIONES DE INVIERNO | NORTE ARGENTINO
2025-07-01,2025,7,Otro,2,122298.0,5023.0,486.0,2.53,120462,EN esta ciudad de SALTA NACIO EL TURISMO de Argentina
2025-07-01,2025,7,MotoGP,3,4267.0,40.0,5.0,1.1,1958,CIRCUITO DE TERMAS de RIO HONDO  moto gp
2025-06-01,2025,6,Otro,1,120204.0,4835.0,438.0,4.39,120204,SORPRESAS Y SECRETOS de esta RUTA hacia el NORTE Argentino
2025-06-01,2025,6,MotoGP,2,27964.0,243.0,6.0,0.81,18370,🏁 MotoGP 25 | Prima Pramac Yamaha YZRM1 Blasts Through Termas – Argentine GP Heat! 🇦🇷🏍️
2025-05-01,2025,5,MotoGP,6,28599.0,357.0,67.0,1.16,10861,MotoGP 25 | Prima Pramac Ducati Conquers Termas de Río Hondo – Flow and Speed in Argentina! 🇦🇷
2025-05-01,2025,5,Termas,1,26137.0,245.0,18.0,1.01,26137,"Final - Turismo Carretera - #fecha5 2025 - Termas de Río Hondo, Santiago del Estero"
2025-04-01,2025,4,Termas,3,52123.0,1477.0,174.0,2.95,28826,"👑IMPACTANTE rincón en las yungas: TERMAS DE REYES, JUJUY, ARGENTINA"
2025-04-01,2025,4,MotoGP,3,11612.0,164.0,17.0,2.02,8671,MotoGP 25 - Termas de Rio Hondo (Argentina Grand Prix) - Gameplay (PC UHD) [4K60FPS]
2025-03-01,2025,3,MotoGP,18,3055770.0,62822.0,2788.0,2.31,800365,Best MotoGP™ Moments! ⚔️ | 2025 Argentina GP
2025-03-01,2025,3,SDE Capital,1,1561144.0,17975.0,825.0,1.2,1561144,Así es VIVIR MONTE ADENTRO en Santiago del Estero 2025
2025-03-01,2025,3,Termas,2,220854.0,4454.0,337.0,2.09,127326,The masters at Termas de Rio Hondo 🏆🇦🇷
2025-02-01,2025,2,Termas,1,174406.0,5025.0,314.0,3.06,174406,Concordia Entre Ríos Termas y todo lo que tenés que conocer
2025-01-01,2025,1,Otro,1,592381.0,29533.0,1968.0,5.32,592381,Día1: Explorando mi lugar Favorito de Argentina 🇦🇷
2025-01-01,2025,1,SDE Capital,1,80221.0,537.0,34.0,0.71,80221,"ESTO ES SALAVINA, SANTIAGO DEL ESTERO"
2024-11-01,2024,11,Otro,1,289716.0,6404.0,508.0,2.39,289716,"Me quedaría a vivir en este lugar para siempre | Tapalqué, provincia de Buenos Aires"
2024-11-01,2024,11,SDE Capital,1,46062.0,2777.0,62.0,6.16,46062,"En mi viaje por Santiago del Estero me crucé con Juan y Alicia, ellos cartonean para comer"
2024-11-01,2024,11,Termas,1,22809.0,237.0,20.0,1.13,22809,TERMAS de CACHEUTA 2024 Mendoza
2024-10-01,2024,10,SDE Capital,1,54679.0,711.0,0.0,1.3,54679,Viaje en TREN  desde Buenos Aires hasta Santiago del Estero 🚅​
2024-10-01,2024,10,MotoGP,1,12006.0,254.0,49.0,2.52,12006,Argentina GP 2015. Termas de Río hondo. Rossi vs Márquez
2024-09-01,2024,9,SDE Capital,1,119457.0,3563.0,324.0,3.25,119457,"SIN COMBUSTIBLE y PERDIDA, así me recibe SANTIAGO DEL ESTERO | Ruta 15 - Sumampa"
2024-09-01,2024,9,Termas,2,71862.0,1398.0,132.0,2.23,40362,"LA PAZ - Entre Rios (TERMAS, PLAYAS e HISTORIA como nadie TE LO MOSTRÓ... Te vas a ENAMORAR !!) HD"
2024-08-01,2024,8,SDE Capital,3,1402027.0,13704.0,834.0,1.3,781260,ASI se VIVE en el MEDIO DEL MONTE | INCOMPARABLE | SANTIAGO DEL ESTERO 2024
2024-08-01,2024,8,Otro,2,704348.0,16998.0,1532.0,2.76,448632,EL EXODO Y ABANDONO Las RUINAS de Negra Muerta | Santiago de Estero Argentina
2024-07-01,2024,7,SDE Capital,1,200059.0,1235.0,0.0,0.62,200059,Asi se vive MONTE ADENTRO en Santiago del Estero 2024 | Recorremos el canal SAUCE
2024-07-01,2024,7,Termas,2,78517.0,562.0,32.0,0.8,44542,RECORRIENDO TERMAS DE RIO HONDO | SANTIAGO DEL ESTERO | NORTE ARGENTINO | VACACIONES DE INVIERNO
2024-06-01,2024,6,MotoGP,1,39699.0,131.0,5.0,0.34,39699,[4kWalk] Sgo. del Estero | Termas de Río Hondo 🔵⚪🔴 MotoGP 2023 🏍️🏁 Walking at the Event
2024-05-01,2024,5,Termas,4,227222.0,2854.0,300.0,1.24,80540,🤑 El Parque Termal más económico de Entre Rios. Termas Chajari tiene alojamientos dentro del parque!
2024-05-01,2024,5,Otro,2,124048.0,2007.0,117.0,1.47,104400,"Qué hacer en Colón, Entre Ríos? Te muestro 10 lugares para conocer en la ciudad y sus alrededores 😜"
2024-04-01,2024,4,Otro,1,39906.0,378.0,18.0,0.99,39906,"El Hotel Termal Dolores, escapada ideal de fin de semana ♨️☀️ Buenos Aires, Argentina"
2024-04-01,2024,4,Termas,1,22705.0,573.0,15.0,2.59,22705,Parque TERMAL CACHEUTA | TERMAS DE CACHEUTA
2024-03-01,2024,3,Otro,1,1714198.0,60874.0,853.0,3.6,1714198,Hacemos un viaje en Autobús de Chile a Argentina y… 🇨🇱🇦🇷 #viajes #autobus #curiosidades
2024-03-01,2024,3,MotoGP,1,38068.0,530.0,105.0,1.67,38068,Marquez VS Rossi in Argentina 2015!🥶 #motogp #marcmarquez #marquez #valentinorossi
2024-02-01,2024,2,MotoGP,1,22317.0,90.0,10.0,0.45,22317,MotoGP (2015) (Arcade) by Raw Thrills - Longplay
2024-01-01,2024,1,SDE Capital,2,371495.0,3765.0,411.0,1.25,234272,Viven en el MEDIO DEL MONTE  rodeados de ANIMALES SALVAJES/ Santiago del Estero
2024-01-01,2024,1,Termas,1,90101.0,2258.0,310.0,2.85,90101,"Rio Hondo Santiago del Estero, termas, autódromo, isla tara inti, embalse, el patio indio Froilán"
2023-12-01,2023,12,SDE Capital,1,181534.0,1186.0,54.0,0.68,181534,Así es VIVIR en el medio del MONTE en completa SOLEDAD/Colonia &quot;Laguna Baya&quot;- Santiago del Estero
2023-12-01,2023,12,Otro,1,144329.0,2210.0,258.0,1.71,144329,Así se usa DIDI CONDUCTOR 🚗 Tutorial PRIMER VIAJE *Actualizado Argentina 2025
