fecha,anio,mes,provincia,empleo_registrado,sector,fuente
2024-05-01,2024,5,Misiones,4886,HyG,SIPA-AFIP
2024-05-01,2024,5,Neuquén,8918,HyG,SIPA-AFIP
2024-05-01,2024,5,Río Negro,9323,HyG,SIPA-AFIP
2024-05-01,2024,5,Salta,246,HyG,SIPA-AFIP
2024-05-01,2024,5,San Juan,2826,HyG,SIPA-AFIP
2024-05-01,2024,5,San Luis,1952,HyG,SIPA-AFIP
2024-05-01,2024,5,Santa Cruz,4480,HyG,SIPA-AFIP
2024-05-01,2024,5,Santa Fe,15364,HyG,SIPA-AFIP
2024-05-01,2024,5,Santiago del Estero,3074,HyG,SIPA-AFIP
2024-05-01,2024,5,Tierra del Fuego,3376,HyG,SIPA-AFIP
2024-05-01,2024,5,Tucumán,5050,HyG,SIPA-AFIP
2024-04-01,2024,4,Buenos Aires,86249,HyG,SIPA-AFIP
2024-04-01,2024,4,CABA,99165,HyG,SIPA-AFIP
2024-04-01,2024,4,Catamarca,1611,HyG,SIPA-AFIP
2024-04-01,2024,4,Chaco,1395,HyG,SIPA-AFIP
2024-04-01,2024,4,Chubut,3641,HyG,SIPA-AFIP
2024-04-01,2024,4,Corrientes,3917,HyG,SIPA-AFIP
2024-04-01,2024,4,Córdoba,22260,HyG,SIPA-AFIP
2024-04-01,2024,4,Entre Ríos,4362,HyG,SIPA-AFIP
2024-04-01,2024,4,Formosa,856,HyG,SIPA-AFIP
2024-04-01,2024,4,Jujuy,1975,HyG,SIPA-AFIP
2024-04-01,2024,4,La Pampa,1144,HyG,SIPA-AFIP
2024-04-01,2024,4,La Rioja,1126,HyG,SIPA-AFIP
2024-04-01,2024,4,Mendoza,14093,HyG,SIPA-AFIP
2024-04-01,2024,4,Misiones,4886,HyG,SIPA-AFIP
2024-04-01,2024,4,Neuquén,8918,HyG,SIPA-AFIP
2024-04-01,2024,4,Río Negro,9323,HyG,SIPA-AFIP
2024-04-01,2024,4,Salta,246,HyG,SIPA-AFIP
2024-04-01,2024,4,San Juan,2826,HyG,SIPA-AFIP
2024-04-01,2024,4,San Luis,1952,HyG,SIPA-AFIP
2024-04-01,2024,4,Santa Cruz,4480,HyG,SIPA-AFIP
2024-04-01,2024,4,Santa Fe,15364,HyG,SIPA-AFIP
2024-04-01,2024,4,Santiago del Estero,3074,HyG,SIPA-AFIP
2024-04-01,2024,4,Tierra del Fuego,3376,HyG,SIPA-AFIP
2024-04-01,2024,4,Tucumán,5050,HyG,SIPA-AFIP
2024-03-01,2024,3,Buenos Aires,99388,HyG,SIPA-AFIP
2024-03-01,2024,3,CABA,100270,HyG,SIPA-AFIP
2024-03-01,2024,3,Catamarca,1656,HyG,SIPA-AFIP
2024-03-01,2024,3,Chaco,1464,HyG,SIPA-AFIP
2024-03-01,2024,3,Chubut,4011,HyG,SIPA-AFIP
2024-03-01,2024,3,Corrientes,3998,HyG,SIPA-AFIP
2024-03-01,2024,3,Córdoba,24946,HyG,SIPA-AFIP
2024-03-01,2024,3,Entre Ríos,4743,HyG,SIPA-AFIP
2024-03-01,2024,3,Formosa,909,HyG,SIPA-AFIP
2024-03-01,2024,3,Jujuy,2095,HyG,SIPA-AFIP
2024-03-01,2024,3,La Pampa,1253,HyG,SIPA-AFIP
2024-03-01,2024,3,La Rioja,1178,HyG,SIPA-AFIP
2024-03-01,2024,3,Mendoza,14410,HyG,SIPA-AFIP
2024-03-01,2024,3,Misiones,5339,HyG,SIPA-AFIP
2024-03-01,2024,3,Neuquén,9588,HyG,SIPA-AFIP
2024-03-01,2024,3,Río Negro,10448,HyG,SIPA-AFIP
2024-03-01,2024,3,Salta,248,HyG,SIPA-AFIP
2024-03-01,2024,3,San Juan,3099,HyG,SIPA-AFIP
2024-03-01,2024,3,San Luis,2110,HyG,SIPA-AFIP
2024-03-01,2024,3,Santa Cruz,5394,HyG,SIPA-AFIP
2024-03-01,2024,3,Santa Fe,16185,HyG,SIPA-AFIP
2024-03-01,2024,3,Santiago del Estero,2918,HyG,SIPA-AFIP
2024-03-01,2024,3,Tierra del Fuego,3711,HyG,SIPA-AFIP
2024-03-01,2024,3,Tucumán,5253,HyG,SIPA-AFIP
2024-02-01,2024,2,Buenos Aires,99388,HyG,SIPA-AFIP
2024-02-01,2024,2,CABA,100270,HyG,SIPA-AFIP
2024-02-01,2024,2,Catamarca,1656,HyG,SIPA-AFIP
2024-02-01,2024,2,Chaco,1464,HyG,SIPA-AFIP
2024-02-01,2024,2,Chubut,4011,HyG,SIPA-AFIP
2024-02-01,2024,2,Corrientes,3998,HyG,SIPA-AFIP
2024-02-01,2024,2,Córdoba,24946,HyG,SIPA-AFIP
2024-02-01,2024,2,Entre Ríos,4743,HyG,SIPA-AFIP
2024-02-01,2024,2,Formosa,909,HyG,SIPA-AFIP
2024-02-01,2024,2,Jujuy,2095,HyG,SIPA-AFIP
2024-02-01,2024,2,La Pampa,1253,HyG,SIPA-AFIP
2024-02-01,2024,2,La Rioja,1178,HyG,SIPA-AFIP
2024-02-01,2024,2,Mendoza,14410,HyG,SIPA-AFIP
2024-02-01,2024,2,Misiones,5339,HyG,SIPA-AFIP
2024-02-01,2024,2,Neuquén,9588,HyG,SIPA-AFIP
2024-02-01,2024,2,Río Negro,10448,HyG,SIPA-AFIP
2024-02-01,2024,2,Salta,248,HyG,SIPA-AFIP
2024-02-01,2024,2,San Juan,3099,HyG,SIPA-AFIP
2024-02-01,2024,2,San Luis,2110,HyG,SIPA-AFIP
2024-02-01,2024,2,Santa Cruz,5394,HyG,SIPA-AFIP
2024-02-01,2024,2,Santa Fe,16185,HyG,SIPA-AFIP
2024-02-01,2024,2,Santiago del Estero,2918,HyG,SIPA-AFIP
2024-02-01,2024,2,Tierra del Fuego,3711,HyG,SIPA-AFIP
2024-02-01,2024,2,Tucumán,5253,HyG,SIPA-AFIP
2024-01-01,2024,1,Buenos Aires,99388,HyG,SIPA-AFIP
2024-01-01,2024,1,CABA,100270,HyG,SIPA-AFIP
2024-01-01,2024,1,Catamarca,1656,HyG,SIPA-AFIP
2024-01-01,2024,1,Chaco,1464,HyG,SIPA-AFIP
2024-01-01,2024,1,Chubut,4011,HyG,SIPA-AFIP
2024-01-01,2024,1,Corrientes,3998,HyG,SIPA-AFIP
2024-01-01,2024,1,Córdoba,24946,HyG,SIPA-AFIP
2024-01-01,2024,1,Entre Ríos,4743,HyG,SIPA-AFIP
2024-01-01,2024,1,Formosa,909,HyG,SIPA-AFIP
2024-01-01,2024,1,Jujuy,2095,HyG,SIPA-AFIP
2024-01-01,2024,1,La Pampa,1253,HyG,SIPA-AFIP
2024-01-01,2024,1,La Rioja,1178,HyG,SIPA-AFIP
2024-01-01,2024,1,Mendoza,14410,HyG,SIPA-AFIP
2024-01-01,2024,1,Misiones,5339,HyG,SIPA-AFIP
2024-01-01,2024,1,Neuquén,9588,HyG,SIPA-AFIP
2024-01-01,2024,1,Río Negro,10448,HyG,SIPA-AFIP
2024-01-01,2024,1,Salta,248,HyG,SIPA-AFIP
2024-01-01,2024,1,San Juan,3099,HyG,SIPA-AFIP
2024-01-01,2024,1,San Luis,2110,HyG,SIPA-AFIP
2024-01-01,2024,1,Santa Cruz,5394,HyG,SIPA-AFIP
2024-01-01,2024,1,Santa Fe,16185,HyG,SIPA-AFIP
2024-01-01,2024,1,Santiago del Estero,2918,HyG,SIPA-AFIP
2024-01-01,2024,1,Tierra del Fuego,3711,HyG,SIPA-AFIP
2024-01-01,2024,1,Tucumán,5253,HyG,SIPA-AFIP
2023-12-01,2023,12,Buenos Aires,94052,HyG,SIPA-AFIP
2023-12-01,2023,12,CABA,101168,HyG,SIPA-AFIP
2023-12-01,2023,12,Catamarca,1610,HyG,SIPA-AFIP
2023-12-01,2023,12,Chaco,1467,HyG,SIPA-AFIP
2023-12-01,2023,12,Chubut,3984,HyG,SIPA-AFIP
2023-12-01,2023,12,Corrientes,4067,HyG,SIPA-AFIP
2023-12-01,2023,12,Córdoba,23412,HyG,SIPA-AFIP
2023-12-01,2023,12,Entre Ríos,4655,HyG,SIPA-AFIP
2023-12-01,2023,12,Formosa,950,HyG,SIPA-AFIP
2023-12-01,2023,12,Jujuy,2119,HyG,SIPA-AFIP
2023-12-01,2023,12,La Pampa,1288,HyG,SIPA-AFIP
2023-12-01,2023,12,La Rioja,1252,HyG,SIPA-AFIP
2023-12-01,2023,12,Mendoza,14219,HyG,SIPA-AFIP
2023-12-01,2023,12,Misiones,5482,HyG,SIPA-AFIP
2023-12-01,2023,12,Neuquén,9186,HyG,SIPA-AFIP
2023-12-01,2023,12,Río Negro,10243,HyG,SIPA-AFIP
2023-12-01,2023,12,Salta,248,HyG,SIPA-AFIP
2023-12-01,2023,12,San Juan,3074,HyG,SIPA-AFIP
2023-12-01,2023,12,San Luis,2073,HyG,SIPA-AFIP
2023-12-01,2023,12,Santa Cruz,5317,HyG,SIPA-AFIP
2023-12-01,2023,12,Santa Fe,16608,HyG,SIPA-AFIP
2023-12-01,2023,12,Santiago del Estero,2902,HyG,SIPA-AFIP
2023-12-01,2023,12,Tierra del Fuego,3806,HyG,SIPA-AFIP
2023-12-01,2023,12,Tucumán,5271,HyG,SIPA-AFIP
2023-11-01,2023,11,Buenos Aires,94052,HyG,SIPA-AFIP
2023-11-01,2023,11,CABA,101168,HyG,SIPA-AFIP
2023-11-01,2023,11,Catamarca,1610,HyG,SIPA-AFIP
2023-11-01,2023,11,Chaco,1467,HyG,SIPA-AFIP
2023-11-01,2023,11,Chubut,3984,HyG,SIPA-AFIP
2023-11-01,2023,11,Corrientes,4067,HyG,SIPA-AFIP
2023-11-01,2023,11,Córdoba,23412,HyG,SIPA-AFIP
2023-11-01,2023,11,Entre Ríos,4655,HyG,SIPA-AFIP
2023-11-01,2023,11,Formosa,950,HyG,SIPA-AFIP
2023-11-01,2023,11,Jujuy,2119,HyG,SIPA-AFIP
